PIT,IND,00007,195,123
PIT,SAN,00007,160,93
PIT,MCO,00007,159,65
PIT,LAS,00007,182,98
PIT,JFK,00007,206,143
PIT,MIA,00007,248,120
PIT,BWI,00007,205,127
IND,PIT,00007,292,123
IND,SAN,00007,171,114
IND,MCO,00007,232,142
IND,LAS,00007,175,124
IND,JFK,00007,186,106
IND,MIA,00007,264,135
IND,BWI,00007,262,104
SAN,PIT,00007,169,96
SAN,IND,00007,160,97
SAN,MCO,00007,215,128
SAN,LAS,00007,248,143
SAN,JFK,00007,252,134
SAN,MIA,00007,183,108
SAN,BWI,00007,178,108
MCO,PIT,00007,185,121
MCO,IND,00007,253,73
MCO,SAN,00007,200,97
MCO,LAS,00007,247,128
MCO,JFK,00007,294,90
MCO,MIA,00007,170,63
MCO,BWI,00007,256,97
LAS,PIT,00007,253,64
LAS,IND,00007,174,112
LAS,SAN,00007,248,119
LAS,MCO,00007,199,122
LAS,JFK,00007,232,73
LAS,MIA,00007,260,55
LAS,BWI,00007,282,97
JFK,PIT,00007,189,130
JFK,IND,00007,151,100
JFK,SAN,00007,260,57
JFK,MCO,00007,209,78
JFK,LAS,00007,261,99
JFK,MIA,00007,185,120
JFK,BWI,00007,159,94
MIA,PIT,00007,160,84
MIA,IND,00007,272,94
MIA,SAN,00007,184,93
MIA,MCO,00007,158,65
MIA,LAS,00007,244,87
MIA,JFK,00007,204,150
MIA,BWI,00007,300,52
BWI,PIT,00007,177,100
BWI,IND,00007,192,70
BWI,SAN,00007,291,139
BWI,MCO,00007,194,102
BWI,LAS,00007,249,132
BWI,JFK,00007,261,93
BWI,MIA,00007,298,90
