PIT,IND,00004,257,66
PIT,SAN,00004,272,117
PIT,MCO,00004,282,81
PIT,LAS,00004,214,147
PIT,JFK,00004,191,148
PIT,MIA,00004,225,121
PIT,BWI,00004,272,128
IND,PIT,00004,154,123
IND,SAN,00004,173,73
IND,MCO,00004,249,149
IND,LAS,00004,162,71
IND,JFK,00004,257,56
IND,MIA,00004,152,103
IND,BWI,00004,235,143
SAN,PIT,00004,271,91
SAN,IND,00004,281,83
SAN,MCO,00004,272,122
SAN,LAS,00004,271,102
SAN,JFK,00004,260,81
SAN,MIA,00004,263,89
SAN,BWI,00004,278,61
MCO,PIT,00004,170,127
MCO,IND,00004,167,117
MCO,SAN,00004,189,61
MCO,LAS,00004,183,117
MCO,JFK,00004,280,101
MCO,MIA,00004,281,64
MCO,BWI,00004,261,56
LAS,PIT,00004,157,61
LAS,IND,00004,230,73
LAS,SAN,00004,256,129
LAS,MCO,00004,239,89
LAS,JFK,00004,268,78
LAS,MIA,00004,232,109
LAS,BWI,00004,187,115
JFK,PIT,00004,190,87
JFK,IND,00004,297,70
JFK,SAN,00004,166,97
JFK,MCO,00004,295,59
JFK,LAS,00004,202,149
JFK,MIA,00004,197,128
JFK,BWI,00004,264,130
MIA,PIT,00004,263,71
MIA,IND,00004,206,79
MIA,SAN,00004,153,53
MIA,MCO,00004,213,128
MIA,LAS,00004,154,86
MIA,JFK,00004,227,135
MIA,BWI,00004,156,68
BWI,PIT,00004,239,70
BWI,IND,00004,192,137
BWI,SAN,00004,184,92
BWI,MCO,00004,155,62
BWI,LAS,00004,222,92
BWI,JFK,00004,233,149
BWI,MIA,00004,264,107
