PIT,IND,00006,223,125
PIT,SAN,00006,192,63
PIT,MCO,00006,208,127
PIT,LAS,00006,249,64
PIT,JFK,00006,290,72
PIT,MIA,00006,277,79
PIT,BWI,00006,179,63
IND,PIT,00006,167,66
IND,SAN,00006,252,85
IND,MCO,00006,283,117
IND,LAS,00006,178,135
IND,JFK,00006,270,97
IND,MIA,00006,287,118
IND,BWI,00006,228,107
SAN,PIT,00006,186,119
SAN,IND,00006,291,134
SAN,MCO,00006,258,67
SAN,LAS,00006,231,85
SAN,JFK,00006,251,137
SAN,MIA,00006,254,115
SAN,BWI,00006,282,120
MCO,PIT,00006,299,86
MCO,IND,00006,189,96
MCO,SAN,00006,172,73
MCO,LAS,00006,244,149
MCO,JFK,00006,170,137
MCO,MIA,00006,174,107
MCO,BWI,00006,240,148
LAS,PIT,00006,167,112
LAS,IND,00006,210,99
LAS,SAN,00006,220,137
LAS,MCO,00006,240,129
LAS,JFK,00006,248,91
LAS,MIA,00006,270,90
LAS,BWI,00006,166,106
JFK,PIT,00006,176,95
JFK,IND,00006,257,73
JFK,SAN,00006,164,133
JFK,MCO,00006,174,93
JFK,LAS,00006,199,133
JFK,MIA,00006,179,148
JFK,BWI,00006,244,145
MIA,PIT,00006,229,90
MIA,IND,00006,231,127
MIA,SAN,00006,261,137
MIA,MCO,00006,290,127
MIA,LAS,00006,264,109
MIA,JFK,00006,259,60
MIA,BWI,00006,162,79
BWI,PIT,00006,196,51
BWI,IND,00006,185,114
BWI,SAN,00006,228,67
BWI,MCO,00006,247,105
BWI,LAS,00006,238,91
BWI,JFK,00006,173,135
BWI,MIA,00006,168,127
